SIMPLE,T,Written by IDL:  Tue May 23 09:49:44 2017
BITPIX,-32,Number of bits per data pixel
NAXIS,3,Number of data axes
NAXIS1,6930,Number of positions along axis 1
NAXIS2,1,Number of positions along axis 2
NAXIS3,1554,Number of positions along axis 3
EXTEND,T,FITS data may contain extensions
INSTRUME,'Bifrost ',Data generated by the Bifrost code
OBJECT,'en096014_gol',Bifrost run name
BTYPE,'lg(tg)  ',Data variable
BUNIT,'K       ',Data unit
CDELT1,0.0138918,[Mm] x-coordinate increment
CDELT2,0.0138900000000,[Mm] y-coordinate increment
CDELT3,0.0698318,[Mm] (non-uniform) z-coordinate increment
CRPIX1,1,Reference pixel x-coordinate
CRPIX2,1,Reference pixel y-coordinate
CRPIX3,1,Reference pixel z-coordinate
CRVAL1,0.00000,[Mm] Position ref-pixel x-coordinate
CRVAL2,0.00000,[Mm] Position ref-pixel y-coordinate
CRVAL3,-3.07768,[Mm] Position ref-pixel z-coordinate
CTYPE1,'x       ',[Mm] Label for x-coordinate
CTYPE2,'y       ',[Mm] Label for y-coordinate
CTYPE3,'z       ',[Mm] Label for z-coordinate
CUNIT1,'Mm      ',Unit for x-coordinate
CUNIT2,'Mm      ',Unit for y-coordinate
CUNIT3,'Mm      ',Unit for z-coordinate
RUNID,'Bifrost_l2d90x40r_it',Run ID for identification of input files
ELAPSED,790.000,[s] Time of snapshot
DATA_LEV,2,Data level
ORIGIN,' ITA,Oslo'          / Origin of data
COMMENT,,riables from .idl file:
MX,6930,mx
MY,1,my
MZ,1554,mz
MB,5,mb
NSTEP,9999999,nstep
NSTPSTRT,2401918,nstepstart
DEBUG,0,debug
PERIOD_X,1,periodic_x
PERIOD_Y,1,periodic_y
PERIOD_Z,0,periodic_z
NDIM,3,ndim
REORDER,1,reorder
U_L,1.00000E+08,u_l
U_T,100.000,u_t
U_R,1.00000E-07,u_r
U_P,100000.,u_p
U_U,1.00000E+06,u_u
U_KR,0.100000,u_kr
U_EE,1.00000E+12,u_ee
U_E,100000.,u_e
U_TE,1.00000E+11,u_te
U_TG,9681.00,u_tg
U_B,1121.00,u_b
MESHFILE,'l2d90x40r_it.mesh',meshfile
DX,0.0138900,dx
DY,1.00000,dy
DZ,0.0669400,dz
CDT,0.200000,cdt
DT,2.55200E-06,dt
T,7.90000,t
TSTPDB,0,timestepdebug
NU1,0.0300000,nu1
NU2,0.0400000,nu2
NU3,0.100000,nu3
NU_R,0.0800000,nu_r
NU_R_K,1370,nu_r_k
NU_R_MZ,0.0400000,nu_r_mz
NU_EE,0.0800000,nu_ee
NU_EE_K,1370,nu_ee_k
NU_EE_MZ,0.0400000,nu_ee_mz
SYMM_E,0,symmetric_e
GRAV,-2.74000,grav
ETA3,0.300000,eta3
CA_MAX,0.00000,ca_max
MHDDEBUG,0,mhddebug
DO_MHD,1,do_mhd
MHDCLEAN,1000,mhdclean
MHDCLN_U,1,mhdclean_ub
MHDCLN_L,0,mhdclean_lb
ONE_FILE,0,one_file
SNAPNAME,'l2d90x40r_it',snapname
ISNAP,281,isnap
LRG_MEM,1,large_memory
NSNAP,1000000,nsnap
NSCR,200,nscr
AUX,'p tg qjoule qtot qgenrad qspitz qh qca qjamb eta_amb eta_hall qvisc ',
DTSNAP,0.100000,dtsnap
NEWAUX,0,newaux
RRDPARS,1000000,rereadpars
DTSCR,1000.00,dtscr
TSNAP,7.89999,tsnap
TSCR,0.00000,tscr
BDRYCHK,0,boundarychk
MAX_R,5,max_r
SMOOTH_R,3,smooth_r
DHCNITER,1000,divhc_niter
DHCCFL,0.400000,divhc_cfl
DIVHC_R,0.180000,divhc_r
DHCVXR,0.00000,divhc_vxr
DHCVYR,0.00000,divhc_vyr
DHCVZR,0.950000,divhc_vzr
DHCTOL,1.00000E-05,divhc_tol
QMAX,8.00000,qmax
NONEQ,0,noneq
DO_HION,0,do_hion
DOHELIUM,0,do_helium
GAMMA,1.66700,gamma
TABFILE,'tabparam.in',tabinputfile
DO_RAD,1,do_rad
DTRAD,0.00200000,dtrad
QUADRATU,3,quadrature
ZREFINE,3,zrefine
MAXITER,100,maxiter
TAUSTRM,1.00000E-05,taustream
ACCURACY,0.00100000,accuracy
STRCTINT,1,strictint
LINEAR,1,linear
MONOTON,1,monotonic
MINBIN,1,minbin
MAXBIN,4,maxbin
DUALSWEE,1,dualsweep
TEFF,5671.00,teff
TIMING,0,timing
DOGENOHM,'chromvpsnom',do_genohm
ETA_AMBO,1.00000,eta_ambo
ETAHALLO,1.00000,eta_hallo
SCL_ETA,1.00000,scl_eta
MAX_ETAA,13.0000,max_eta_a
MTS_MAXN,1,mts_max_n
GAUSSM,1.00000,gaussm
NITER,1,niter
ECDT,1.50000E-07,ecdt
CAAMBMAX,0.00000,ca_amb_max
CAHALMAX,0.00000,ca_hall_max
COLTABLE,'coltabvk.dat',coltablefile
